type: 1, father: pid: 1099, processname: wget, label0: PT1  The process has network connections., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT1,1,FT1,D
type: 0, father: pid: 1008, processname: , label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1099, processname: wget, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 959, processname: , label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1009, processname: , label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1101, processname: bash, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1103, processname: bash, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1105, processname: bash, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1107, processname: bash, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1112, processname: , label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 1, father: pid: 1112, processname: , label0: PT3  Access data from network., son: filepath: /var/cache/apt/archives/partial/libcurl3-gnutls_7.47.0-1ubuntu2.14_amd64.deb, label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3/PT4,1,FT1,D
type: 1, father: pid: 1112, processname: , label0: PT3  Access data from network., son: filepath: /var/cache/apt/archives/partial/curl_7.47.0-1ubuntu2.14_amd64.deb, label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3/PT4,1,FT1,D
type: 0, father: pid: 1151, processname: , label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: 1153, processname: mandb, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
type: 0, father: pid: -1, processname: parentNeverShowUp, label0: PT3  Access data from network., son: filepath: , label1: FT1  The file contains data from network., labeltime: 1585290052097000000, grammar: PT3,0,FT1,R
